,name,link,company,salary_min,salary_max,currency,source
1541,Fullstack-разработчик [id 31101],https://korolev.hh.ru/vacancy/37029605?query=python, ПАО «Газпром нефть»,NaN,NaN,NaN,hh.ru
1542,Тестировщик (Junior/Middle),https://korolev.hh.ru/vacancy/35743270?query=python,ООО А1 Системс,NaN,NaN,NaN,hh.ru
1543,Middle / Senior QA Engineer,https://korolev.hh.ru/vacancy/36424182?query=python,ООО ТаймВэб,NaN,NaN,NaN,hh.ru
1544,DevOps Engineer (удалённо),https://korolev.hh.ru/vacancy/36913210?query=python,ООО Carprice,NaN,NaN,NaN,hh.ru
1545,DevOps/Build Engineer,https://korolev.hh.ru/vacancy/36849094?query=python, Saber Interactive,NaN,NaN,NaN,hh.ru
1546,"Research Developer (Python, C++)",https://korolev.hh.ru/vacancy/35680327?query=python, Лаборатория Касперского,NaN,NaN,NaN,hh.ru
1547,Аналитик,https://korolev.hh.ru/vacancy/33195505?query=python, Азбука Качества-дом брендов,NaN,NaN,NaN,hh.ru
1548,Стажер-разработчик,https://korolev.hh.ru/vacancy/37036150?query=python,ООО СРМ Солюшнс,NaN,40000,руб.,hh.ru
1549,Главный специалист группы тестирования,https://korolev.hh.ru/vacancy/37037656?query=python, Группа НЛМК,NaN,NaN,NaN,hh.ru
1550,Главный специалист группы тестирования,https://korolev.hh.ru/vacancy/37037657?query=python, Группа НЛМК,NaN,NaN,NaN,hh.ru
1551,Гейм-дизайнер (монетизация),https://korolev.hh.ru/vacancy/36183226?query=python, BANZAI.GAMES,NaN,NaN,NaN,hh.ru
1552,Ведущий специалист отдела тестирования,https://korolev.hh.ru/vacancy/35929336?query=python, СОГАЗ: г. Москва,NaN,NaN,NaN,hh.ru
1553,Trader,https://korolev.hh.ru/vacancy/37022190?query=python, the_covert,NaN,NaN,NaN,hh.ru
1554,"Full-stack Developer (Security Big Data, Python, JavaScript)",https://korolev.hh.ru/vacancy/36340026?query=python, Лаборатория Касперского,NaN,NaN,NaN,hh.ru
