,name,link,company,salary_min,salary_max,currency,source
1234,Python-разработчик,https://korolev.hh.ru/vacancy/34298779?query=python," Русские базовые информационные технологии, Научно-производственное объединение",60000,NaN,руб.,hh.ru
1235,Data Scientist in Oil & Gas,https://korolev.hh.ru/vacancy/36735147?query=python,ООО Инжиниринговый Центр МФТИ по полезным ископаемым,NaN,NaN,NaN,hh.ru
1236,Администратор PostgreSQL,https://korolev.hh.ru/vacancy/35092723?query=python, ФОРС,NaN,NaN,NaN,hh.ru
1237,Аналитик по продажам,https://korolev.hh.ru/vacancy/36997418?query=python, X5 RETAIL GROUP,NaN,NaN,NaN,hh.ru
1238,Linux Kernel Developer (SberDevices),https://korolev.hh.ru/vacancy/36990449?query=python, Сбербанк для экспертов,NaN,NaN,NaN,hh.ru
1239,QA Lead,https://korolev.hh.ru/vacancy/36817868?query=python, Emlid,NaN,NaN,NaN,hh.ru
1240,"QA-инженер (проект ""Корпоративный университет"")",https://korolev.hh.ru/vacancy/35833150?query=python,"ПАО «МТС»,IT",NaN,NaN,NaN,hh.ru
1241,Machine Learning Engineer,https://korolev.hh.ru/vacancy/35715784?query=python,ООО Техностар,NaN,NaN,NaN,hh.ru
1242,Senior Python developer,https://korolev.hh.ru/vacancy/37037483?query=python,ООО Облачные технологии,NaN,NaN,NaN,hh.ru
1243,Full stack разработчик Python,https://korolev.hh.ru/vacancy/35442959?query=python, КВАРТА ВК,NaN,NaN,NaN,hh.ru
1244,Разработчик,https://korolev.hh.ru/vacancy/36886293?query=python, ГК «ХайТэк»,NaN,NaN,NaN,hh.ru
1245,"Team Leader команды разработчиков (Frontend, Backend)",https://korolev.hh.ru/vacancy/36338932?query=python, Первый канал. Всемирная сеть,NaN,NaN,NaN,hh.ru
1246,Python developer,https://korolev.hh.ru/vacancy/37033405?query=python,АО РТСофт,NaN,NaN,NaN,hh.ru
1247,Frontend lead (React),https://korolev.hh.ru/vacancy/35928824?query=python, СОГАЗ: г. Москва,NaN,NaN,NaN,hh.ru
1248,Senior Data Scientist,https://korolev.hh.ru/vacancy/37038641?query=python,ООО Flo,NaN,NaN,NaN,hh.ru
1249,Python Developer,https://korolev.hh.ru/vacancy/35741196?query=python, Spectrum,100000,160000,руб.,hh.ru
1250,Python Developer,https://korolev.hh.ru/vacancy/35741196?query=python, Spectrum,100000,160000,руб.,hh.ru
1251,QA mobile automation МТС.Cashback,https://korolev.hh.ru/vacancy/36233667?query=python,"ПАО «МТС»,IT",NaN,NaN,NaN,hh.ru
1252,Senior Python Developer,https://korolev.hh.ru/vacancy/35447743?query=python, DataArt,NaN,NaN,NaN,hh.ru
1253,Senior Python Developer,https://korolev.hh.ru/vacancy/35447747?query=python, DataArt,NaN,NaN,NaN,hh.ru
1254,Senior Python Developer,https://korolev.hh.ru/vacancy/35447762?query=python, DataArt,NaN,NaN,NaN,hh.ru
1255,Senior Python Developer,https://korolev.hh.ru/vacancy/35447769?query=python, DataArt,NaN,NaN,NaN,hh.ru
1256,Senior Python Developer,https://korolev.hh.ru/vacancy/35447784?query=python, DataArt,NaN,NaN,NaN,hh.ru
1257,Senior Python Developer,https://korolev.hh.ru/vacancy/35447797?query=python, DataArt,NaN,NaN,NaN,hh.ru
1258,Python developer,https://korolev.hh.ru/vacancy/37033162?query=python,АО РТСофт,NaN,NaN,NaN,hh.ru
1259,Программист Python,https://korolev.hh.ru/vacancy/35756772?query=python,ООО Тензор,,,,hh.ru
1260,Программист Python,https://korolev.hh.ru/vacancy/34012100?query=python,ООО Энтерра,NaN,NaN,NaN,hh.ru
1261,Python developer,https://korolev.hh.ru/vacancy/37032822?query=python,АО РТСофт,NaN,NaN,NaN,hh.ru
1262,Backend Go Developer (Blue Team),https://korolev.hh.ru/vacancy/35846701?query=python, SEMrush,200000,NaN,руб.,hh.ru
1263,Lead DevOps Engineer,https://korolev.hh.ru/vacancy/37038873?query=python, Лаборатория Касперского,NaN,NaN,NaN,hh.ru
1264,Тестировщик ПО,https://korolev.hh.ru/vacancy/36358814?query=python, РТ БПМ,50000,NaN,руб.,hh.ru
1265,Automation QA Engineer,https://korolev.hh.ru/vacancy/35433069?query=python, Открытая Мобильная Платформа,NaN,NaN,NaN,hh.ru
1266,Ведущий инженер технической поддержки (сетевое оборудование),https://korolev.hh.ru/vacancy/37038920?query=python, НТЦ Метротек,100000,140000,руб.,hh.ru
1267,Frontend-разработчик (Jira/Confluence),https://korolev.hh.ru/vacancy/37034735?query=python," Иннотехнум, Группа компаний",NaN,NaN,NaN,hh.ru
1268,Технический аналитик / Аналитик BI,https://korolev.hh.ru/vacancy/36713851?query=python, ivi,120000,180000,руб.,hh.ru
1269,Аналитик (Моделирование/Скоринг),https://korolev.hh.ru/vacancy/35606831?query=python,АО ДОМ.РФ,NaN,NaN,NaN,hh.ru
1270,Go Developer (Red Team),https://korolev.hh.ru/vacancy/34009250?query=python, SEMrush,180000,NaN,руб.,hh.ru
1271,Разработчик Python,https://korolev.hh.ru/vacancy/36724688?query=python, Лига Цифровой Экономики,NaN,NaN,NaN,hh.ru
1272,Младший специалист,https://korolev.hh.ru/vacancy/37038506?query=python, Biplanum,NaN,NaN,NaN,hh.ru
1273,Программист PHP,https://korolev.hh.ru/vacancy/37021522?query=python,ООО Саламат,,,,hh.ru
1274,Python TeamLead (DS/ML),https://korolev.hh.ru/vacancy/35052439?query=python, Тинькофф,NaN,NaN,NaN,hh.ru
1275,Python-разработчик (Middle),https://korolev.hh.ru/vacancy/36806782?query=python, РБК,NaN,NaN,NaN,hh.ru
1276,Инженер по тестированию iOS-приложений,https://korolev.hh.ru/vacancy/30019550?query=python, ВКонтакте,NaN,NaN,NaN,hh.ru
1277,Прикладной программист Linux,https://korolev.hh.ru/vacancy/37038921?query=python, НТЦ Метротек,,,,hh.ru
1278,Data Scientist (Computer Vision),https://korolev.hh.ru/vacancy/34982073?query=python, Тинькофф,NaN,NaN,NaN,hh.ru
1279,Специалист по структурной биоинформатике,https://korolev.hh.ru/vacancy/37020189?query=python," БИОКАД, биотехнологическая компания",NaN,NaN,NaN,hh.ru
1280,Веб-аналитик (product),https://korolev.hh.ru/vacancy/35010061?query=python, Diamond Personnel R&C,130000,150000,руб.,hh.ru
1281,Разработчик FPGA (ПЛИС) Junior,https://korolev.hh.ru/vacancy/37038930?query=python, НТЦ Метротек,,,,hh.ru
1282,Ведущий инженер Отдела мониторинга сети - R,https://korolev.hh.ru/vacancy/36720383?query=python," Beeline, ТМ",NaN,NaN,NaN,hh.ru
1283,Инженер-разработчик Python,https://korolev.hh.ru/vacancy/36722486?query=python, Rambler Group,NaN,NaN,NaN,hh.ru
1284,Специалист по виртуализации,https://korolev.hh.ru/vacancy/36717499?query=python,АО Гринатом,NaN,NaN,NaN,hh.ru
1285,Программист Python (Middle),https://korolev.hh.ru/vacancy/36919115?query=python, Открытые Технологии,120000,180000,руб.,hh.ru
1286,Разработчик ПО на DPDK,https://korolev.hh.ru/vacancy/37038919?query=python, НТЦ Метротек,120000,NaN,руб.,hh.ru
1287,Гейм-дизайнер (Shadow Fight Arena),https://korolev.hh.ru/vacancy/36713691?query=python, BANZAI.GAMES,NaN,NaN,NaN,hh.ru
1288,Специалист по анализу данных,https://korolev.hh.ru/vacancy/37023367?query=python,ТОО Manpower,NaN,NaN,NaN,hh.ru
1289,Data Scientist (Business unit),https://korolev.hh.ru/vacancy/36519864?query=python, Wrike,NaN,NaN,NaN,hh.ru
1290,DevOps-инженер,https://korolev.hh.ru/vacancy/35301762?query=python, РБК,NaN,NaN,NaN,hh.ru
1291,Ведущий frontend-разработчик [id 31101],https://korolev.hh.ru/vacancy/37032834?query=python, ПАО «Газпром нефть»,NaN,NaN,NaN,hh.ru
1292,Data Scientist (анализ контента),https://korolev.hh.ru/vacancy/37034370?query=python, i-FREE,NaN,NaN,NaN,hh.ru
1293,Python Developer / Senior Python Developer,https://korolev.hh.ru/vacancy/36701207?query=python, БАРС Груп,NaN,NaN,NaN,hh.ru
1294,Системный инженер (SRE),https://korolev.hh.ru/vacancy/36892264?query=python, Bercut,NaN,NaN,NaN,hh.ru
1295,Разработчик FPGA (ПЛИС),https://korolev.hh.ru/vacancy/37038924?query=python, НТЦ Метротек,NaN,NaN,NaN,hh.ru
1296,QA Engineer удаленно (ручное тестирование),https://korolev.hh.ru/vacancy/36808101?query=python, AWG,150000,180000,руб.,hh.ru
1297,Python Developer,https://korolev.hh.ru/vacancy/37026842?query=python, Andersen,NaN,NaN,NaN,hh.ru
1298,Python Developer,https://korolev.hh.ru/vacancy/37026815?query=python, Andersen,NaN,NaN,NaN,hh.ru
1299,Python Developer,https://korolev.hh.ru/vacancy/36449672?query=python, Wrike,NaN,NaN,NaN,hh.ru
1300,Data Analytics Intern / Стажер по направлению «Анализ данных»,https://korolev.hh.ru/vacancy/36953834?query=python, Adhack.io,NaN,NaN,NaN,hh.ru
1301,Разработчик Python в Отдел бизнес-аналитики,https://korolev.hh.ru/vacancy/36991802?query=python, Rambler Group,NaN,NaN,NaN,hh.ru
1302,Программист-тестировщик (веб-производительность),https://korolev.hh.ru/vacancy/35756816?query=python,ООО Тензор,,,,hh.ru
1303,Тестировщик ПО (Скайп-собеседование),https://korolev.hh.ru/vacancy/36230303?query=python, MedPoint24,100000,150000,руб.,hh.ru
1304,Senior / Lead DevOps Engineer (Cyprus),https://korolev.hh.ru/vacancy/34948535?query=python, IBIT,300000,NaN,руб.,hh.ru
1305,Senior / Lead DevOps Engineer (Cyprus),https://korolev.hh.ru/vacancy/34948547?query=python, IBIT,300000,NaN,руб.,hh.ru
1306,Senior / Lead DevOps Engineer (Cyprus),https://korolev.hh.ru/vacancy/34948548?query=python, IBIT,300000,NaN,руб.,hh.ru
1307,Senior / Lead DevOps Engineer (Cyprus),https://korolev.hh.ru/vacancy/34948550?query=python, IBIT,300000,NaN,руб.,hh.ru
1308,Senior / Lead DevOps Engineer (Cyprus),https://korolev.hh.ru/vacancy/34948556?query=python, IBIT,300000,NaN,руб.,hh.ru
1309,Senior / Lead DevOps Engineer (Cyprus),https://korolev.hh.ru/vacancy/34948557?query=python, IBIT,300000,NaN,руб.,hh.ru
1310,Senior / Lead DevOps Engineer (Cyprus),https://korolev.hh.ru/vacancy/34948558?query=python, IBIT,300000,NaN,руб.,hh.ru
1311,Senior / Lead DevOps Engineer (Cyprus),https://korolev.hh.ru/vacancy/34948560?query=python, IBIT,300000,NaN,руб.,hh.ru
1312,Senior / Lead DevOps Engineer (Cyprus),https://korolev.hh.ru/vacancy/34948561?query=python, IBIT,300000,NaN,руб.,hh.ru
1313,Senior / Lead DevOps Engineer (Cyprus),https://korolev.hh.ru/vacancy/34948563?query=python, IBIT,300000,NaN,руб.,hh.ru
1314,Senior / Lead DevOps Engineer (Cyprus),https://korolev.hh.ru/vacancy/35882774?query=python, IBIT,260000,NaN,руб.,hh.ru
1315,Разработчик SQL,https://korolev.hh.ru/vacancy/36167788?query=python, Группа компаний Мангазея,NaN,NaN,NaN,hh.ru
